Year,State,County,HAI,Operative_Procedure,Facility_ID,Facility_Name,Hospital_Category_RiskAdjustment,Facility_Type,Procedure_Count,Infections_Reported,Infections_Predicted,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,Met_2020_Goal,SIR_2015,Notes
2023,California,Amador,Surgical Site Infections (SSI),Colon surgery,30000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",13,1,0.22,4.48,0.11,24.99,Same,No,0,\ See Data Dictionary
2023,California,Amador,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",17,0,0.09,,,,,,0,
2023,California,Amador,Surgical Site Infections (SSI),Gallbladder surgery,30000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",21,0,0.06,,,,,,,
2023,California,Amador,Surgical Site Infections (SSI),Gastric surgery,30000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",3,0,0.06,,,,,,,
2023,California,Amador,Surgical Site Infections (SSI),Hip prosthesis,30000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",29,0,0.12,,,,,,0,
2023,California,Amador,Surgical Site Infections (SSI),"Hysterectomy, abdominal",30000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",1,0,0.01,,,,,,,
2023,California,Amador,Surgical Site Infections (SSI),Knee prosthesis,30000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",7,0,0.01,,,,,,,
2023,California,Amador,Surgical Site Infections (SSI),Open reduction of fracture,30000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",27,0,0.15,,,,,,5.7,
2023,California,Amador,Surgical Site Infections (SSI),Rectal surgery,30000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",7,0,0.09,,,,,,,
2023,California,Amador,Surgical Site Infections (SSI),Small bowel surgery,30000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",12,0,0.22,0,0,16.69,Same,Yes,1.18,\ See Data Dictionary
2023,California,Placer,Surgical Site Infections (SSI),All procedures,30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",679,1,3.59,0.28,0.01,1.38,Same,Yes,,
2023,California,Placer,Surgical Site Infections (SSI),Appendix surgery,30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",55,0,0.15,,,,,,,
2023,California,Placer,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",1,0,0.01,,,,,,,
2023,California,Placer,Surgical Site Infections (SSI),Colon surgery,30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",51,0,0.82,0,0,4.49,Same,Yes,2.67,\ See Data Dictionary
2023,California,Placer,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",48,0,0.21,0,0,17.82,Same,Yes,0,\ See Data Dictionary
2023,California,Placer,Surgical Site Infections (SSI),Gallbladder surgery,30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",72,0,0.23,0,0,15.97,Same,Yes,0,\ See Data Dictionary
2023,California,Placer,Surgical Site Infections (SSI),Gastric surgery,30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",13,0,0.11,,,,,,0,
2023,California,Placer,Surgical Site Infections (SSI),Hip prosthesis,30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",128,0,0.6,0,0,6.18,Same,Yes,4.26,\ See Data Dictionary
2023,California,Placer,Surgical Site Infections (SSI),"Hysterectomy, abdominal",30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",7,0,0.04,,,,,,,
2023,California,Placer,Surgical Site Infections (SSI),Kidney surgery,30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",8,0,0.03,,,,,,,
2023,California,Placer,Surgical Site Infections (SSI),Knee prosthesis,30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",162,1,0.37,2.7,0.07,15.02,Same,No,5.04,\ See Data Dictionary
2023,California,Placer,Surgical Site Infections (SSI),Open reduction of fracture,30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",72,0,0.36,0,0,10.22,Same,Yes,0,\ See Data Dictionary
2023,California,Placer,Surgical Site Infections (SSI),Ovarian surgery,30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",4,0,0.01,,,,,,,
2023,California,Placer,Surgical Site Infections (SSI),Pacemaker surgery,30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",5,0,0.01,,,,,,,
2023,California,Placer,Surgical Site Infections (SSI),Rectal surgery,30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",1,0,0.01,,,,,,,
2023,California,Placer,Surgical Site Infections (SSI),Small bowel surgery,30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",34,0,0.59,0,0,6.23,Same,Yes,0,\ See Data Dictionary
2023,California,Placer,Surgical Site Infections (SSI),Spinal fusion,30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",2,0,0.01,,,,,,0,
2023,California,Placer,Surgical Site Infections (SSI),Spleen surgery,30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",1,0,0,,,,,,,
2023,California,Placer,Surgical Site Infections (SSI),Thoracic surgery,30000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",15,0,0.03,,,,,,,
2023,California,Sacramento,Surgical Site Infections (SSI),Abdominal aortic aneurysm repair,30000113,University of California Davis Medical Center,Acute Care Hospital,"Community, >250 Beds",2,0,0.01,,,,,,,
2023,California,Sacramento,Surgical Site Infections (SSI),All procedures,30000113,University of California Davis Medical Center,Acute Care Hospital,"Community, >250 Beds",7677,54,92.33,0.59,0.44,0.76,Better,Yes,,
2023,California,Sacramento,Surgical Site Infections (SSI),Appendix surgery,30000113,University of California Davis Medical Center,Acute Care Hospital,"Community, >250 Beds",124,0,1.05,0,0,2.86,Same,Yes,0,
2023,California,Sacramento,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",30000113,University of California Davis Medical Center,Acute Care Hospital,"Community, >250 Beds",99,6,3.74,1.61,0.65,3.34,Same,No,0.86,
2023,California,Sacramento,Surgical Site Infections (SSI),Cardiac surgery,30000113,University of California Davis Medical Center,Acute Care Hospital,"Community, >250 Beds",121,1,0.65,1.55,0.04,8.63,Same,No,1.03,\ See Data Dictionary
2023,California,Sacramento,Surgical Site Infections (SSI),Cesarean section,30000113,University of California Davis Medical Center,Acute Care Hospital,"Community, >250 Beds",622,1,2.11,0.47,0.02,2.34,Same,Yes,0,
2023,California,Sacramento,Surgical Site Infections (SSI),Colon surgery,30000113,University of California Davis Medical Center,Acute Care Hospital,"Community, >250 Beds",353,12,16.85,0.71,0.39,1.21,Same,No,0.74,
2023,California,Sacramento,Surgical Site Infections (SSI),"Coronary bypass,chest and donor incisions",30000113,University of California Davis Medical Center,Acute Care Hospital,"Community, >250 Beds",86,1,1.03,0.97,0.05,4.77,Same,No,,
2023,California,Sacramento,Surgical Site Infections (SSI),"Coronary bypass,chest incision only",30000113,University of California Davis Medical Center,Acute Care Hospital,"Community, >250 Beds",7,0,0.06,,,,,,,
2023,California,Sacramento,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000113,University of California Davis Medical Center,Acute Care Hospital,"Community, >250 Beds",703,3,7.91,0.38,0.1,1.03,Same,Yes,0.76,
2023,California,Sacramento,Surgical Site Infections (SSI),Gallbladder surgery,30000113,University of California Davis Medical Center,Acute Care Hospital,"Community, >250 Beds",281,1,2.31,0.43,0.02,2.14,Same,Yes,0.76,
2023,California,Sacramento,Surgical Site Infections (SSI),Gastric surgery,30000113,University of California Davis Medical Center,Acute Care Hospital,"Community, >250 Beds",146,1,2.22,0.45,0.02,2.22,Same,Yes,0.76,
2023,California,Sacramento,Surgical Site Infections (SSI),Hip prosthesis,30000113,University of California Davis Medical Center,Acute Care Hospital,"Community, >250 Beds",497,5,4.53,1.1,0.4,2.45,Same,No,0.34,
2023,California,Sacramento,Surgical Site Infections (SSI),"Hysterectomy, abdominal",30000113,University of California Davis Medical Center,Acute Care Hospital,"Community, >250 Beds",249,1,4.15,0.24,0.01,1.19,Same,Yes,1.86,
2023,California,Sacramento,Surgical Site Infections (SSI),"Hysterectomy, vaginal",30000113,University of California Davis Medical Center,Acute Care Hospital,"Community, >250 Beds",10,0,0.04,,,,,,0,
2023,California,Sacramento,Surgical Site Infections (SSI),Kidney surgery,30000113,University of California Davis Medical Center,Acute Care Hospital,"Community, >250 Beds",338,1,1.12,0.9,0.05,4.42,Same,No,2.15,
2023,California,Sacramento,Surgical Site Infections (SSI),Kidney transplant,30000113,University of California Davis Medical Center,Acute Care Hospital,"Community, >250 Beds",300,1,1.72,0.58,0.03,2.87,Same,Yes,0.52,
2023,California,Sacramento,Surgical Site Infections (SSI),Knee prosthesis,30000113,University of California Davis Medical Center,Acute Care Hospital,"Community, >250 Beds",383,1,1.74,0.57,0.03,2.83,Same,Yes,0,
2023,California,Sacramento,Surgical Site Infections (SSI),Laminectomy,30000113,University of California Davis Medical Center,Acute Care Hospital,"Community, >250 Beds",575,3,2.54,1.18,0.3,3.21,Same,No,1.17,
2023,California,Sacramento,Surgical Site Infections (SSI),Liver transplant,30000113,University of California Davis Medical Center,Acute Care Hospital,"Community, >250 Beds",15,0,0.8,0,0,4.63,Same,Yes,,\ See Data Dictionary
2023,California,Sacramento,Surgical Site Infections (SSI),Open reduction of fracture,30000113,University of California Davis Medical Center,Acute Care Hospital,"Community, >250 Beds",817,1,12.29,0.08,0,0.4,Better,Yes,0.34,
2023,California,Sacramento,Surgical Site Infections (SSI),Ovarian surgery,30000113,University of California Davis Medical Center,Acute Care Hospital,"Community, >250 Beds",334,1,0.25,4.08,0.1,22.74,Same,No,,\ See Data Dictionary
2023,California,Sacramento,Surgical Site Infections (SSI),Pacemaker surgery,30000113,University of California Davis Medical Center,Acute Care Hospital,"Community, >250 Beds",12,0,0.03,,,,,,,
2023,California,Sacramento,Surgical Site Infections (SSI),Rectal surgery,30000113,University of California Davis Medical Center,Acute Care Hospital,"Community, >250 Beds",105,1,2.88,0.35,0.02,1.71,Same,Yes,0,
2023,California,Sacramento,Surgical Site Infections (SSI),Small bowel surgery,30000113,University of California Davis Medical Center,Acute Care Hospital,"Community, >250 Beds",395,4,8.81,0.45,0.14,1.1,Same,Yes,1.21,
2023,California,Sacramento,Surgical Site Infections (SSI),Spinal fusion,30000113,University of California Davis Medical Center,Acute Care Hospital,"Community, >250 Beds",723,7,11.86,0.59,0.26,1.17,Same,Yes,0.7,
2023,California,Sacramento,Surgical Site Infections (SSI),Spleen surgery,30000113,University of California Davis Medical Center,Acute Care Hospital,"Community, >250 Beds",45,0,0.39,0,0,9.53,Same,Yes,2,\ See Data Dictionary
2023,California,Sacramento,Surgical Site Infections (SSI),Thoracic surgery,30000113,University of California Davis Medical Center,Acute Care Hospital,"Community, >250 Beds",335,2,1.23,1.62,0.27,5.36,Same,No,0.77,
2023,California,El Dorado,Surgical Site Infections (SSI),All procedures,30000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",780,2,4,0.5,0.08,1.65,Same,Yes,,
2023,California,El Dorado,Surgical Site Infections (SSI),Appendix surgery,30000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",34,0,0.08,,,,,,,
2023,California,El Dorado,Surgical Site Infections (SSI),Cesarean section,30000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",54,0,0.07,,,,,,,
2023,California,El Dorado,Surgical Site Infections (SSI),Colon surgery,30000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",50,0,1.03,0,0,2.9,Same,Yes,0,
2023,California,El Dorado,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",24,0,0.14,,,,,,,
2023,California,El Dorado,Surgical Site Infections (SSI),Gallbladder surgery,30000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",34,1,0.07,,,,,,,
2023,California,El Dorado,Surgical Site Infections (SSI),Gastric surgery,30000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",7,0,0.06,,,,,,,
2023,California,El Dorado,Surgical Site Infections (SSI),Hip prosthesis,30000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",80,0,0.4,0,0,9.15,Same,Yes,0,\ See Data Dictionary
2023,California,El Dorado,Surgical Site Infections (SSI),"Hysterectomy, abdominal",30000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",15,0,0.08,,,,,,,
2023,California,El Dorado,Surgical Site Infections (SSI),Knee prosthesis,30000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",167,0,0.39,0,0,9.48,Same,Yes,0,\ See Data Dictionary
2023,California,El Dorado,Surgical Site Infections (SSI),Laminectomy,30000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",28,0,0.08,,,,,,,
2023,California,El Dorado,Surgical Site Infections (SSI),Open reduction of fracture,30000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",109,0,0.78,0,0,4.71,Same,Yes,,\ See Data Dictionary
2023,California,El Dorado,Surgical Site Infections (SSI),Ovarian surgery,30000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",10,0,0.01,,,,,,,
2023,California,El Dorado,Surgical Site Infections (SSI),Small bowel surgery,30000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",18,0,0.35,0,0,10.66,Same,Yes,,\ See Data Dictionary
2023,California,El Dorado,Surgical Site Infections (SSI),Spinal fusion,30000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",148,1,0.45,2.21,0.06,12.3,Same,No,0,\ See Data Dictionary
2023,California,El Dorado,Surgical Site Infections (SSI),Thoracic surgery,30000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",2,0,0,,,,,,,
2023,California,San Joaquin,Surgical Site Infections (SSI),All procedures,30000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",642,2,4.26,0.47,0.08,1.55,Same,Yes,,
2023,California,San Joaquin,Surgical Site Infections (SSI),Appendix surgery,30000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",24,2,0.05,,,,,,0,
2023,California,San Joaquin,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",30000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",1,0,0,,,,,,,
2023,California,San Joaquin,Surgical Site Infections (SSI),Cardiac surgery,30000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",64,0,0.2,,,,,,,
2023,California,San Joaquin,Surgical Site Infections (SSI),Colon surgery,30000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",48,0,1.01,0,0,2.98,Same,Yes,0,
2023,California,San Joaquin,Surgical Site Infections (SSI),"Coronary bypass,chest and donor incisions",30000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",56,0,0.46,0,0,8.09,Same,Yes,,\ See Data Dictionary
2023,California,San Joaquin,Surgical Site Infections (SSI),"Coronary bypass,chest incision only",30000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",3,0,0.01,,,,,,,
2023,California,San Joaquin,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",25,0,0.09,,,,,,0,
2023,California,San Joaquin,Surgical Site Infections (SSI),Gallbladder surgery,30000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",81,0,0.2,,,,,,0,
2023,California,San Joaquin,Surgical Site Infections (SSI),Gastric surgery,30000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",29,0,0.13,,,,,,1.12,
2023,California,San Joaquin,Surgical Site Infections (SSI),Hip prosthesis,30000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",79,0,0.63,0,0,5.86,Same,Yes,3.96,\ See Data Dictionary
2023,California,San Joaquin,Surgical Site Infections (SSI),"Hysterectomy, vaginal",30000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",1,0,0,,,,,,,
2023,California,San Joaquin,Surgical Site Infections (SSI),Kidney surgery,30000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",4,0,0.01,,,,,,,
2023,California,San Joaquin,Surgical Site Infections (SSI),Knee prosthesis,30000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",104,0,0.44,0,0,8.46,Same,Yes,0.65,\ See Data Dictionary
2023,California,San Joaquin,Surgical Site Infections (SSI),Laminectomy,30000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",5,0,0.02,,,,,,0,
2023,California,San Joaquin,Surgical Site Infections (SSI),Open reduction of fracture,30000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",37,0,0.22,0,0,16.54,Same,Yes,0,\ See Data Dictionary
2023,California,San Joaquin,Surgical Site Infections (SSI),Ovarian surgery,30000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",4,0,0.01,,,,,,,
2023,California,San Joaquin,Surgical Site Infections (SSI),Pacemaker surgery,30000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",22,0,0.04,,,,,,0,
2023,California,San Joaquin,Surgical Site Infections (SSI),Small bowel surgery,30000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",34,0,0.67,0,0,5.5,Same,Yes,1.82,\ See Data Dictionary
